Species,Code,Lure,Country,Site,Lat,Long,Elevation (m) (google earth),Trapping dates,Habitat,Collectors,#
Zeugodacus cucurbitae,FF276,CL,Taiwan,Nantou Co. Jiji Township,23.8276,120.8021,326,30-31-vii-2014,City Agriculure (Dragon fruit Banana papaya),Daniel Rubinoff & Michael San Jose,5
Zeugodacus cucurbitae,FF289,CL,Taiwan,Pingtung Co. Kenting National Park,21.9651,120.7192,128,1-5-viii-2014,Sea side forest and city some agriculture,Daniel Rubinoff & Michael San Jose,5
Zeugodacus cucurbitae,FF297,CL,Taiwan,Pingtung Co. Kenting National Park,21.9900,120.8488,30,1-5-viii-2014,Sea side forest and city some agriculture,Daniel Rubinoff & Michael San Jose,5
Zeugodacus synnephys,FF309,CL,Taiwan,Taitung Co. Lanyu Island,22.0270,121.5537,64,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,5
Zeugodacus tau,FF280,CL,Taiwan,Nantou Co. Jiji Township,23.8278,120.7747,230,30-31-vii-2014,City Agriculure (Dragon fruit Banana papaya),Daniel Rubinoff & Michael San Jose,5
Zeugodacus tau,FF353,CL,Taiwan,Chaiyi Co. Alishan mountain,23.4804,120.6522,618,7-9-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,5
Zeugodacus tau,FF354,CL,Taiwan,Chaiyi Co. Alishan mountain,23.4704,120.6508,685,7-9-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,5
Bactrocera dorsalis,FF263 (Tw),ME,Taiwan,Nantou Co. Lugu Township Bird Park,23.7299,120.7871,854,28-30-vii-2014,Tea modified forest ,Daniel Rubinoff & Michael San Jose,6
Bactrocera dorsalis,FF278,ME,Taiwan,Nantou Co. Jiji Township,23.8251,120.8224,373,30-31-vii-2014,City Agriculure (Dragon fruit Banana papaya),Daniel Rubinoff & Michael San Jose,6
Bactrocera rubigina,FF306,CL,Taiwan,Taitung Co. Lanyu Island,22.0093,121.5720,52,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,6
Zeugodacus cucurbitae,FF316,CL,Taiwan,Taitung Co. Lanyu Island,22.0543,121.5621,32,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,6
Zeugodacus cucurbitae,FF363,CL,Taiwan,Chaiyi Co. road between Chaiyi and Alishan,23.4594,120.5352,188,7-9-viii-2014,Agriculture ,Daniel Rubinoff & Michael San Jose,6
Zeugodacus synnephys,FF342,CL,Taiwan,Chaiyi Co. Alishan mountain,23.5005,120.7120,1607,6-8-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,6
Zeugodacus synnephys,FF360,CL,Taiwan,Chaiyi Co. Alishan mountain,23.4727,120.6924,1144,7-9-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,6
Bactrocera dorsalis,FF267 (Tw),ME,Taiwan,"Nantou Co. Yuchi Township, Lianhuachi Research center",23.9271,120.8873,740,29-31-vii-2014,secondary forest primary forest,Daniel Rubinoff & Michael San Jose,7
Bactrocera dorsalis,FF269,ME,Taiwan,"Nantou Co. Yuchi Township, Lianhuachi Research center",23.9282,120.8916,772,29-31-vii-2014,secondary forest primary forest,Daniel Rubinoff & Michael San Jose,7
Bactrocera dorsalis,FF296,ME,Taiwan,Pingtung Co. Kenting National Park,21.9593,120.8397,25,1-5-viii-2014,Sea side forest and city some agriculture,Daniel Rubinoff & Michael San Jose,7
Bactrocera dorsalis,FF334,ME,Taiwan,Chaiyi Co. Alishan mountain,23.4418,120.6590,955,6-8-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,7
Bactrocera dorsalis,FF355,ME,Taiwan,Chaiyi Co. Alishan mountain,23.4671,120.6591,704,7-9-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,7
Bactrocera dorsalis,FF357,ME,Taiwan,Chaiyi Co. Alishan mountain,23.4822,120.6768,914,7-9-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,7
Bactrocera dorsalis,,ME,Taiwan,"New Taipei City, Shimen, Shifen waterfall",25.0489,121.7874,178,20-xi-2015,,,7
Zeugodacus cucurbitae,,CL,Taiwan,"Taitung: Luye, Lungtien",22.9580,121.1595,176,28-viii-2015,,,7
Bactrocera dorsalis,FF259 (Tw),ME,Taiwan,Nantou Co. Lugu Township Bird Park,23.7293,120.7924,809,28-30-vii-2014,Tea modified forest ,Daniel Rubinoff & Michael San Jose,8
Bactrocera dorsalis,FF270,ME,Taiwan,"Nantou Co. Yuchi Township, Lianhuachi Research center",23.9287,120.8922,751,29-31-vii-2014,secondary forest primary forest,Daniel Rubinoff & Michael San Jose,8
Bactrocera dorsalis,FF294,ME,Taiwan,Pingtung Co. Kenting National Park,21.9146,120.8544,84,1-5-viii-2014,Sea side forest and city some agriculture,Daniel Rubinoff & Michael San Jose,8
Bactrocera dorsalis,FF336,ME,Taiwan,Chaiyi Co. Alishan mountain,23.4431,120.6680,1141,6-8-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,8
Bactrocera dorsalis,FF338,ME,Taiwan,Chaiyi Co. Alishan mountain,23.4665,120.6916,1284,6-8-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,8
Bactrocera dorsalis,FF362,ME,Taiwan,Chaiyi Co. road between Chaiyi and Alishan,23.4602,120.5529,237,7-9-viii-2014,Agriculture ,Daniel Rubinoff & Michael San Jose,8
Bactrocera dorsalis,,ME,Taiwan,Tainan Co.: Mount Kamtgshan,,,,14-viii-2015,,,8
Zeugodacus cucurbitae,FF353,CL,Taiwan,Chaiyi Co. Alishan mountain,23.4804,120.6522,618,7-9-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,8
Bactrocera dorsalis,FF253 (Tw),ME,Taiwan,Taipei,25.0277,121.5285,32,27-28-vii-2014,,Daniel Rubinoff & Michael San Jose,9
Bactrocera dorsalis,FF265 (Tw),ME,Taiwan,"Nantou Co. Yuchi Township, Lianhuachi Research center",23.9257,120.8877,730,29-31-vii-2014,secondary forest primary forest,Daniel Rubinoff & Michael San Jose,9
Bactrocera dorsalis,FF364,ME,Taiwan,Chaiyi Co. road between Chaiyi and Alishan,23.4562,120.5228,154,7-9-viii-2014,Agriculture ,Daniel Rubinoff & Michael San Jose,9
Bactrocera dorsalis,,ME,Taiwan,"Hualien County: Fuli, Luoshan Waterfall",23.1815,121.2949,537,27-viii-2015,,,9
Zeugodacus cucurbitae,FF309,CL,Taiwan,Taitung Co. Lanyu Island,22.0270,121.5537,64,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,9
Zeugodacus cucurbitae,FF318,CL,Taiwan,Taitung Co. Lanyu Island,22.0815,121.5454,22,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,9
Zeugodacus synnephys,FF340,CL,Taiwan,Chaiyi Co. Alishan mountain,23.4985,120.7009,1352,6-8-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,9
Bactrocera dorsalis,FF254 (Tw),ME,Taiwan,Nantou Co. Lugu Township Bird Park,23.7284,120.7911,813,28-30-vii-2014,Tea modified forest ,Daniel Rubinoff & Michael San Jose,10
Bactrocera dorsalis,FF348,ME,Taiwan,Chaiyi Co. Alishan mountain,23.4762,120.6299,724,7-9-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,10
Zeugodacus tau,FF283,CL,Taiwan,Nantou Co. Jiji Township,23.8357,120.7478,225,30-31-vii-2014,City Agriculure (Dragon fruit Banana papaya),Daniel Rubinoff & Michael San Jose,10
Bactrocera bhutaniae,Taiwan 002,,Taiwan,"Nantou Co., Yuchi, Lianhuachi",23.9190,120.8829,722,21-x-2013,,,11
Bactrocera dorsalis,FF258 (Tw),ME,Taiwan,Nantou Co. Lugu Township Bird Park,23.7244,120.7957,883,28-30-vii-2014,Tea modified forest ,Daniel Rubinoff & Michael San Jose,11
Bactrocera dorsalis,FF262 (Tw),ME,Taiwan,Nantou Co. Lugu Township Bird Park,23.7302,120.7922,781,28-30-vii-2014,Tea modified forest ,Daniel Rubinoff & Michael San Jose,11
Bactrocera dorsalis,FF268 (Tw),ME,Taiwan,"Nantou Co. Yuchi Township, Lianhuachi Research center",23.9272,120.8911,768,29-31-vii-2014,secondary forest primary forest,Daniel Rubinoff & Michael San Jose,11
Zeugodacus tau,FF297,CL,Taiwan,Pingtung Co. Kenting National Park,21.9900,120.8488,30,1-5-viii-2014,Sea side forest and city some agriculture,Daniel Rubinoff & Michael San Jose,11
Bactrocera dorsalis,FF261 (Tw),ME,Taiwan,Nantou Co. Lugu Township Bird Park,23.7294,120.7947,747,28-30-vii-2014,Tea modified forest ,Daniel Rubinoff & Michael San Jose,12
Bactrocera dorsalis,,ME,Taiwan,Taitung: Guanshan,23.0495,121.1646,229,26-viii-2015,,,12
Bactrocera dorsalis,FF273,ME,Taiwan,"Nantou Co. Yuchi Township, Lianhuachi Research center",23.9312,120.8941,773,29-31-vii-2014,secondary forest primary forest,Daniel Rubinoff & Michael San Jose,13
Bactrocera dorsalis,FF349,ME,Taiwan,Chaiyi Co. Alishan mountain,23.4728,120.6358,626,7-9-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,13
Bactrocera dorsalis,FF359,ME,Taiwan,Chaiyi Co. Alishan mountain,23.4746,120.6826,1046,7-9-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,13
Bactrocera dorsalis,,ME,Taiwan,"Miaoli Co.: Shanyi, Mt. Pillow",,,,13-ix-2015,,,13
Zeugodacus synnephys,FF358,CL,Taiwan,Chaiyi Co. Alishan mountain,23.4834,120.6857,940,7-9-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,13
Bactrocera dorsalis,FF356,ME,Taiwan,Chaiyi Co. Alishan mountain,23.4724,120.6654,808,7-9-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,14
Zeugodacus tau,FF358,CL,Taiwan,Chaiyi Co. Alishan mountain,23.4834,120.6857,940,7-9-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,14
Bactrocera dorsalis,FF257 (Tw),ME,Taiwan,Nantou Co. Lugu Township Bird Park,23.7253,120.7961,852,28-30-vii-2014,Tea modified forest ,Daniel Rubinoff & Michael San Jose,15
Bactrocera dorsalis,FF264 (Tw),ME,Taiwan,"Nantou Co. Yuchi Township, Lianhuachi Research center",23.9247,120.8855,729,29-31-vii-2014,secondary forest primary forest,Daniel Rubinoff & Michael San Jose,17
Bactrocera dorsalis,FF271,ME,Taiwan,"Nantou Co. Yuchi Township, Lianhuachi Research center",23.9305,120.8912,792,29-31-vii-2014,secondary forest primary forest,Daniel Rubinoff & Michael San Jose,17
Zeugodacus cucurbitae,FF306,CL,Taiwan,Taitung Co. Lanyu Island,22.0093,121.5720,52,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,18
Bactrocera dorsalis,FF272,ME,Taiwan,"Nantou Co. Yuchi Township, Lianhuachi Research center",23.9328,120.8929,786,29-31-vii-2014,secondary forest primary forest,Daniel Rubinoff & Michael San Jose,19
Bactrocera dorsalis,FF287,ME,Taiwan,Pingtung Co. Kenting National Park,21.9558,120.7337,58,1-5-viii-2014,Sea side forest and city some agriculture,Daniel Rubinoff & Michael San Jose,19
Bactrocera dorsalis,,ME,Taiwan,"Taipei City, Shipai",25.1145,121.5155,12,21-ix-2015,,,19
Bactrocera dorsalis,FF266 (Tw),ME,Taiwan,"Nantou Co. Yuchi Township, Lianhuachi Research center",23.9283,120.8885,742,29-31-vii-2014,secondary forest primary forest,Daniel Rubinoff & Michael San Jose,20
Bactrocera dorsalis,FF284,ME,Taiwan,Pingtung Co. Kenting National Park,21.9822,120.7338,71,1-5-viii-2014,Sea side forest and city some agriculture,Daniel Rubinoff & Michael San Jose,20
Bactrocera dorsalis,FF312,ME,Taiwan,Taitung Co. Lanyu Island,22.0367,121.5585,315,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,20
Bactrocera dorsalis,FF315,ME,Taiwan,Taitung Co. Lanyu Island,22.0338,121.5652,170,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,20
Bactrocera dorsalis,FF291,ME,Taiwan,Pingtung Co. Kenting National Park,21.9190,120.8362,26,1-5-viii-2014,Sea side forest and city some agriculture,Daniel Rubinoff & Michael San Jose,22
Bactrocera dorsalis,FF319,ME,Taiwan,Taitung Co. Lanyu Island,22.0729,121.5103,52,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,22
Bactrocera dorsalis,,ME,Taiwan,"Changhua County: Yanlin, Dayeh University",24.0000,120.5960,120,8-xi-2015,,,22
Bactrocera dorsalis,FF352,ME,Taiwan,Chaiyi Co. Alishan mountain,23.4760,120.6428,586,7-9-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,23
Zeugodacus synnephys,FF338,CL,Taiwan,Chaiyi Co. Alishan mountain,23.4665,120.6916,1284,6-8-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,23
Bactrocera dorsalis,FF282,ME,Taiwan,Nantou Co. Jiji Township,23.8307,120.7605,238,30-31-vii-2014,City Agriculure (Dragon fruit Banana papaya),Daniel Rubinoff & Michael San Jose,24
Bactrocera dorsalis,FF313,ME,Taiwan,Taitung Co. Lanyu Island,22.0372,121.5580,318,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,24
Bactrocera dorsalis,FF333,ME,Taiwan,Chaiyi Co. Alishan mountain,23.4416,120.6487,880,6-8-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,24
Bactrocera dorsalis,FF363,ME,Taiwan,Chaiyi Co. road between Chaiyi and Alishan,23.4594,120.5352,188,7-9-viii-2014,Agriculture ,Daniel Rubinoff & Michael San Jose,25
Bactrocera dorsalis,FF358,ME,Taiwan,Chaiyi Co. Alishan mountain,23.4834,120.6857,940,7-9-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,26
Bactrocera dorsalis,,ME,Taiwan,"Keelung, Gangziliao",25.1446,121.7799,143,19-ix-2015,,,26
Dacus satanas,FF327,ZN,Taiwan,Chaiyi Co. Alishan mountain,23.4219,120.6156,445,6-8-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,26
Bactrocera dorsalis,FF290,ME,Taiwan,Pingtung Co. Kenting National Park,21.9295,120.8270,21,1-5-viii-2014,Sea side forest and city some agriculture,Daniel Rubinoff & Michael San Jose,28
Bactrocera dorsalis,FF331,ME,Taiwan,Chaiyi Co. Alishan mountain,23.4371,120.6169,491,6-8-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,30
Bactrocera dorsalis,FF361,ME,Taiwan,Chaiyi Co. Alishan mountain,23.4715,120.6925,1146,7-9-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,30
Bactrocera dorsalis,FF365,ME,Taiwan,Chaiyi Co. road between Chaiyi and Alishan,23.4614,120.5018,147,7-9-viii-2014,Agriculture ,Daniel Rubinoff & Michael San Jose,30
Bactrocera dorsalis,FF275,ME,Taiwan,"Nantou Co. Yuchi Township, Lianhuachi Research center",23.9318,120.8966,781,29-31-vii-2014,secondary forest primary forest,Daniel Rubinoff & Michael San Jose,33
Bactrocera dorsalis,FF293,ME,Taiwan,Pingtung Co. Kenting National Park,21.9073,120.8508,25,1-5-viii-2014,Sea side forest and city some agriculture,Daniel Rubinoff & Michael San Jose,37
Bactrocera dorsalis,FF329,ME,Taiwan,Chaiyi Co. Alishan mountain,23.4200,120.6117,548,6-8-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,38
Bactrocera dorsalis,FF283,ME,Taiwan,Nantou Co. Jiji Township,23.8357,120.7478,225,30-31-vii-2014,City Agriculure (Dragon fruit Banana papaya),Daniel Rubinoff & Michael San Jose,39
Bactrocera dorsalis,FF325,ME,Taiwan,Chaiyi Co. Alishan mountain,23.4297,120.6119,348,6-8-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,39
Bactrocera dorsalis,,ME,Taiwan,Fushan: Ilan County,24.7021,121.7377,13,21-ix-2015,,,40
Bactrocera dorsalis,FF310,ME,Taiwan,Taitung Co. Lanyu Island,22.0292,121.5551,143,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,41
Bactrocera dorsalis,FF320,ME,Taiwan,Taitung Co. Lanyu Island,22.0810,121.5047,200,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,41
Zeugodacus cucurbitae,FF301,CL,Taiwan,Taitung Co. Lanyu Island,22.0281,121.5784,40,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,42
Bactrocera dorsalis,FF354,ME,Taiwan,Chaiyi Co. Alishan mountain,23.4704,120.6508,685,7-9-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,44
Bactrocera dorsalis,FF295,ME,Taiwan,Pingtung Co. Kenting National Park,21.9434,120.8374,86,1-5-viii-2014,Sea side forest and city some agriculture,Daniel Rubinoff & Michael San Jose,45
Bactrocera dorsalis,FF300,ME,Taiwan,Pingtung Co. Kenting National Park,22.0086,120.7867,116,1-5-viii-2014,Sea side forest and city some agriculture,Daniel Rubinoff & Michael San Jose,45
Bactrocera dorsalis,FF322,ME,Taiwan,Taitung Co. Lanyu Island Tatientsu Lake trail,22.0131,121.5707,127,3-viii-2014,Native forest.,Daniel Rubinoff & Michael San Jose,47
Bactrocera dorsalis,FF328,ME,Taiwan,Chaiyi Co. Alishan mountain,23.4209,120.6159,528,6-8-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,48
Bactrocera dorsalis,FF279,ME,Taiwan,Nantou Co. Jiji Township,23.8268,120.8336,399,30-31-vii-2014,City Agriculure (Dragon fruit Banana papaya),Daniel Rubinoff & Michael San Jose,50
Bactrocera dorsalis,FF314,ME,Taiwan,Taitung Co. Lanyu Island,22.0351,121.5611,219,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,53
Bactrocera dorsalis,FF289,ME,Taiwan,Pingtung Co. Kenting National Park,21.9651,120.7192,128,1-5-viii-2014,Sea side forest and city some agriculture,Daniel Rubinoff & Michael San Jose,60
Bactrocera dorsalis,FF286,ME,Taiwan,Pingtung Co. Kenting National Park,21.9657,120.7404,40,1-5-viii-2014,Sea side forest and city some agriculture,Daniel Rubinoff & Michael San Jose,64
Bactrocera dorsalis,FF324,ME,Taiwan,Chaiyi Co. Alishan mountain,23.4380,120.6065,247,6-8-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,64
Bactrocera dorsalis,FF323,ME,Taiwan,Taitung Co. Lanyu Island Tatientsu Lake trail,22.0146,121.5714,209,3-viii-2014,Native forest.,Daniel Rubinoff & Michael San Jose,67
Bactrocera dorsalis,,ME,Taiwan,"Taitung: Luye, Lungtien",22.9580,121.1595,176,28-viii-2015,,,71
Bactrocera dorsalis,FF280,ME,Taiwan,Nantou Co. Jiji Township,23.8278,120.7747,230,30-31-vii-2014,City Agriculure (Dragon fruit Banana papaya),Daniel Rubinoff & Michael San Jose,74
Bactrocera dorsalis,FF353,ME,Taiwan,Chaiyi Co. Alishan mountain,23.4804,120.6522,618,7-9-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,74
Bactrocera dorsalis,FF321,ME,Taiwan,Taitung Co. Lanyu Island,22.0764,121.5095,165,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,79
Zeugodacus cucurbitae,FF302,CL,Taiwan,Taitung Co. Lanyu Island,22.0274,121.5824,36,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,79
Bactrocera dorsalis,FF332,ME,Taiwan,Chaiyi Co. Alishan mountain,23.4395,120.6268,627,6-8-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,81
Bactrocera dorsalis,,ME,Taiwan,"Hualien County: Juisui, Fuyuan Forest Recreation Area",23.5893,121.3545,241,ix-2015,,,83
Bactrocera dorsalis,FF298,ME,Taiwan,Pingtung Co. Kenting National Park,22.0090,120.8060,43,1-5-viii-2014,Sea side forest and city some agriculture,Daniel Rubinoff & Michael San Jose,89
Bactrocera dorsalis,FF326,ME,Taiwan,Chaiyi Co. Alishan mountain,23.4261,120.6125,384,6-8-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,96
Bactrocera dorsalis,FF288,ME,Taiwan,Pingtung Co. Kenting National Park,21.9545,120.7219,122,1-5-viii-2014,Sea side forest and city some agriculture,Daniel Rubinoff & Michael San Jose,97
Bactrocera dorsalis,FF276,ME,Taiwan,Nantou Co. Jiji Township,23.8276,120.8021,326,30-31-vii-2014,City Agriculure (Dragon fruit Banana papaya),Daniel Rubinoff & Michael San Jose,98
Bactrocera dorsalis,FF316,ME,Taiwan,Taitung Co. Lanyu Island,22.0543,121.5621,32,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,110
Bactrocera dorsalis,,ME,Taiwan,Taipei: Beitou,25.1151,121.5150,12,12-ix-2015,,,111
Bactrocera dorsalis,FF330,ME,Taiwan,Chaiyi Co. Alishan mountain,23.4195,120.6121,585,6-8-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,121
Bactrocera dorsalis,FF304,ME,Taiwan,Taitung Co. Lanyu Island,22.0146,121.5961,25,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,131
Bactrocera dorsalis,FF303,ME,Taiwan,Taitung Co. Lanyu Island,22.0238,121.5949,28,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,151
Bactrocera dorsalis,FF305,ME,Taiwan,Taitung Co. Lanyu Island,22.0037,121.5834,14,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,155
Bactrocera dorsalis,FF350,ME,Taiwan,Chaiyi Co. Alishan mountain,23.4744,120.6440,552,7-9-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,157
Bactrocera dorsalis,FF327,ME,Taiwan,Chaiyi Co. Alishan mountain,23.4219,120.6156,445,6-8-viii-2014,Mix between agriculure and native forest road side trapping,Daniel Rubinoff & Michael San Jose,158
Bactrocera dorsalis,FF277,ME,Taiwan,Nantou Co. Jiji Township,23.8284,120.8104,296,30-31-vii-2014,City Agriculure (Dragon fruit Banana papaya),Daniel Rubinoff & Michael San Jose,168
Bactrocera dorsalis,FF311,ME,Taiwan,Taitung Co. Lanyu Island,22.0347,121.5585,201,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,170
Bactrocera dorsalis,FF302,ME,Taiwan,Taitung Co. Lanyu Island,22.0274,121.5824,36,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,199
Bactrocera dorsalis,FF297,ME,Taiwan,Pingtung Co. Kenting National Park,21.9900,120.8488,30,1-5-viii-2014,Sea side forest and city some agriculture,Daniel Rubinoff & Michael San Jose,205
Bactrocera dorsalis,FF366,ME,Taiwan,Chaiyi Co. road between Chaiyi and Alishan,23.4654,120.4824,86,7-9-viii-2014,Agriculture ,Daniel Rubinoff & Michael San Jose,229
Bactrocera dorsalis,FF285,ME,Taiwan,Pingtung Co. Kenting National Park,21.9754,120.7344,31,1-5-viii-2014,Sea side forest and city some agriculture,Daniel Rubinoff & Michael San Jose,243
Bactrocera dorsalis,FF306,ME,Taiwan,Taitung Co. Lanyu Island,22.0093,121.5720,52,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,244
Bactrocera dorsalis,FF281,ME,Taiwan,Nantou Co. Jiji Township,23.8251,120.7669,246,30-31-vii-2014,City Agriculure (Dragon fruit Banana papaya),Daniel Rubinoff & Michael San Jose,247
Bactrocera dorsalis,FF318,ME,Taiwan,Taitung Co. Lanyu Island,22.0815,121.5454,22,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,250
Bactrocera dorsalis,FF301,ME,Taiwan,Taitung Co. Lanyu Island,22.0281,121.5784,40,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,256
Bactrocera dorsalis,FF309,ME,Taiwan,Taitung Co. Lanyu Island,22.0270,121.5537,64,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,260
Bactrocera dorsalis,FF299,ME,Taiwan,Pingtung Co. Kenting National Park,22.0254,120.8011,129,1-5-viii-2014,Sea side forest and city some agriculture,Daniel Rubinoff & Michael San Jose,270
Bactrocera dorsalis,FF308,ME,Taiwan,Taitung Co. Lanyu Island,22.0166,121.5638,17,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,326
Bactrocera dorsalis,FF317,ME,Taiwan,Taitung Co. Lanyu Island,22.0829,121.5661,31,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,358
Bactrocera dorsalis,FF307,ME,Taiwan,Taitung Co. Lanyu Island,22.0100,121.5762,77,2-4-viii-2014,Traps around island,Daniel Rubinoff & Michael San Jose,375